Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
3693,952,Chul A Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (952311.2776626056 1176520.0702099788),Valid,POINT (13.131756999613115 10.615917000218076)
7769,953,Uba General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Askira Uba,Borno,POINT (958940.5878740019 1161064.4781740666),Valid,POINT (13.19031300039916 10.475706999951965)
4958,954,Peta A Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (821080.0431319787 1145420.057264804),Valid,POINT (11.93165600020086 10.348492999515996)
977,955,Makinta Kururi Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (869789.7971052667 1304280.7693457585),Valid,POINT (12.39238000024119 11.778350000036655)
1337,956,Limanti Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (791315.11230116 1169746.5571958101),Valid,POINT (11.661970999962591 10.57063000044763)
5610,957,Balbaya Model Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (799146.8532976408 1175136.5492485103),Valid,POINT (11.733911999843086 10.618711000116434)
19447,958,Benisheik Maternal Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (880178.1201734653 1307620.943236507),Valid,POINT (12.487940000169715 11.80734999974078)
4714,959,Azir Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (898504.9210441328 1223281.365416002),Valid,POINT (12.64609299962723 11.0440490001136)
2176,960,Pompomari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (939950.5609689677 1311658.72719471),Valid,POINT (13.035969999530323 11.836519999560439)
22000,961,Gajiganna Private Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (946948.6863598777 1358199.6730275918),Valid,POINT (13.106440000411395 12.255400000169686)
5325,962,Dalori Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (964891.1981907766 1303080.403020309),Valid,POINT (13.263139999881671 11.755809999721748)
2152,963,Yimirdalong Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (811729.6035811219 1150368.5356518796),Valid,POINT (11.846758999517364 10.393959000408017)
2202,964,Kareji Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (813321.2279721809 1110763.9917920763),Valid,POINT (11.858082000210802 10.036077000244008)
3175,965,Guwal Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (818733.8251032793 1166781.9161786141),Valid,POINT (11.912049999879514 10.541639999750313)
4133,966,Lakundum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (824403.256619419 1127090.0769126767),Valid,POINT (11.960429999751454 10.18265399983619)
2314,967,Dayar Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (828309.7238553445 1158539.511302428),Valid,POINT (11.998737999779905 10.466378999613992)
1384,968,Wuro Boki Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (834715.1243643066 1115307.4216069547),Valid,POINT (12.053434999943986 10.075372999943793)
3265,969,Sekwa Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (850575.9826042668 1162727.5508929729),Valid,POINT (12.202291000084642 10.502218999965576)
2397,970,Kida Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (858023.0953877554 1169675.8172898856),Valid,POINT (12.270901999702573 10.56426500012293)
3912,971,Hyera Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (861767.2440518164 1159889.413951759),Valid,POINT (12.304128000278071 10.475545999842552)
3890,972,Kirbutu Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (875856.4370010034 1160766.0435113178),Valid,POINT (12.432738999663231 10.482099000295024)
2795,973,Njilang Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (913333.8445546875 1201930.5273219028),Valid,POINT (12.779121000013504 10.84971000006942)
4301,974,Gumsuri Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (916249.2477885624 1225259.3654718958),Valid,POINT (12.808429999927569 11.059899999883609)
49278,975,Gomari Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (945254.3728565285 1311049.9521748344),Valid,POINT (13.08445800047565 11.830332000355954)
45438,976,Dalaram Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (954458.593582334 1315292.356145046),Valid,POINT (13.169318000134012 11.867367999520182)
61064,977,Gwange Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954644.542371091 1312231.9634338892),Valid,POINT (13.170601000005774 11.839739999748248)
43290,978,Mashamari Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955767.5331107553 1313073.3538561254),Valid,POINT (13.180999000070697 11.847176999801375)
14132,979,Uba Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (960723.3148546302 1158685.0046104651),Valid,POINT (13.206270000241203 10.454030000223439)
13595,980,Cbda Clinic,Functional,Secondary,Federal Staff Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (960047.2496668064 1314982.1456071746),Valid,POINT (13.220449999875827 11.863810000102719)
18667,981,Zabamari Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (962399.5136561217 1322135.5001620238),Valid,POINT (13.242990000190673 11.927999999716807)
4193,982,Gora Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (819305.7334226492 1111954.9643695627),Valid,POINT (11.912720000000038 10.04636000000005)
2609,983,Buma Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (848138.6756496544 1143514.1841441072),Valid,POINT (12.178291560000048 10.328939494365445)
1705,984,Wawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (819103.915225799 1159221.356460125),Valid,POINT (11.914787400000025 10.473318000000063)
825,985,Gadam Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (816114.7527326427 1165882.3690425055),Valid,POINT (11.888066750000064 10.533733910000024)
1255,986,Kwardum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (824778.3400426251 1154051.7669870362),Valid,POINT (11.966128167512823 10.426147000725289)
556,987,Nahuta Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (822384.3894320326 1141877.3562756614),Valid,POINT (11.943256590000033 10.316385360000025)
5689,988,Garin Gado Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (791428.4718928647 1160730.5661851543),Valid,POINT (11.662306500000058 10.489166710000063)
1913,989,Sabon Gari Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (959637.3551045598 1178689.4859967255),Valid,POINT (13.198823120000043 10.634598140000039)
36934,990,Borno Medical Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951749.376016117 1313668.699823887),Valid,POINT (13.144287109000063 11.853088379000042)
29884,991,Shuwari Host Community Clinic Unicef,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (911211.0957778322 1234934.18580003),Valid,POINT (12.763523275965262 11.14778581602316)
67245,992,Zannari Primary Health Care,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (957085.462717572 1312155.3041061405),Valid,POINT (13.192939999999993 11.838718329999994)
44173,993,Maimusari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956290.5589487149 1310877.647287047),Valid,POINT (13.185486234957468 11.827302596991816)
53062,994,Gwozari Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Mafa,Borno,POINT (957352.4994674628 1311623.0537012408),Valid,POINT (13.195311670000002 11.833881670000006)
1681,995,Zange Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (802842.4839472846 1137181.3062932412),Valid,POINT (11.764624499999998 10.275538299999996)
1170,996,Bam Buratai Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (831752.3883246949 1214623.4704160797),Valid,POINT (12.035199757655315 10.972599612433013)
2582,997,Kubo Deno Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (809008.0854488169 1131414.975084013),Valid,POINT (11.820401999608976 10.222964000224977)
7619,998,Kwaya Kusar General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (810891.8032582847 1161160.2470508327),Valid,POINT (11.839999999924942 10.491509999689358)
25136,999,Kwaya Kusar Maternal and Child Hospital,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (811062.6284657575 1162018.6385016295),Valid,POINT (11.841630000032412 10.499249999948287)
2900,1000,Kombo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (809431.8843693245 1113241.1272790022),Valid,POINT (11.822828000257347 10.058757999654688)
2179,1001,Yimbula Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (912513.9315943129 1210006.6798946045),Valid,POINT (12.772553999551521 10.922683999651838)
